Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:17:39,18000,-0.1467,-0.1768,0.1079,0.0054,0.0546,0.1554,0.0478,0.0169,0.1867
0:17:54,18100,-0.1579,-0.2845,0.0648,0.0054,0.0026,0.2674,0.0544,0.1280,0.0401
0:17:59,18200,-0.0505,-0.2645,0.0020,0.0035,0.0383,0.2547,0.0520,0.0318,0.6893
0:18:03,18300,-0.1128,-0.1806,0.1167,0.0059,0.2682,0.1625,0.0523,0.2441,1.0811
0:18:08,18400,-0.2595,-0.1944,0.0025,0.0076,0.0053,0.2721,0.0606,0.3308,0.0586
0:18:13,18500,-0.2384,-0.1207,0.0024,0.0060,0.2127,0.1297,0.0560,0.0047,0.1992
0:18:17,18600,-0.2333,-0.1102,0.1761,0.0039,0.1012,0.0969,0.0463,0.0769,0.3914
0:18:22,18700,-0.1388,-0.1614,0.0278,0.0040,0.0319,0.1849,0.0440,0.0184,0.6636
0:18:27,18800,-0.1222,-0.1992,0.0610,0.0071,0.0152,0.1765,0.0471,0.1236,0.1572
0:18:31,18900,-0.2460,-0.1612,0.0123,0.0032,0.0250,0.1526,0.0631,0.1833,0.2777
0:18:36,19000,-0.2186,-0.2411,0.0036,0.0028,0.0420,0.3242,0.0605,0.2464,0.0629
0:18:52,19100,-0.1615,-0.1392,0.0025,0.0051,0.0180,0.1208,0.0506,0.1059,0.2989
0:18:57,19200,-0.1566,-0.1277,0.0219,0.0061,0.0089,0.1351,0.0442,0.0409,0.1378
0:19:01,19300,-0.1369,-0.1791,0.0722,0.0074,0.0589,0.1719,0.0482,0.0063,0.0452
0:19:06,19400,-0.0808,-0.1756,0.0485,0.0027,0.0482,0.1930,0.0431,0.1349,0.2267
0:19:11,19500,-0.2699,-0.0659,0.0245,0.0048,0.0594,0.0782,0.0484,0.0607,0.0586
0:19:15,19600,-0.1639,-0.2462,0.0068,0.0055,0.0012,0.2609,0.0532,0.2302,0.0239
0:19:20,19700,-0.2007,-0.1763,0.0018,0.0018,0.0231,0.1853,0.0486,0.0399,0.3323
0:19:25,19800,-0.1731,-0.2509,0.0151,0.0060,0.0201,0.3005,0.0527,0.0316,0.0229
0:19:30,19900,-0.0744,-0.3029,0.0003,0.0207,0.0033,0.2341,0.0654,0.0043,0.3756
0:19:34,20000,-0.0879,-0.2817,0.5493,0.0093,0.1524,0.1106,0.0553,0.1033,0.2189
0:20:19,20100,-0.1901,-0.1712,0.0130,0.0026,0.0082,0.1695,0.0496,0.0195,0.0159
0:20:23,20200,-0.1316,-0.2938,0.0039,0.0044,0.0150,0.2592,0.0529,0.0221,0.0766
0:20:28,20300,-0.0251,-0.3498,0.0160,0.0032,0.0010,0.3235,0.0543,0.0372,0.0835
0:20:32,20400,-0.0934,-0.1957,0.0983,0.0066,0.4922,0.2376,0.0472,0.3404,0.5144
0:20:37,20500,-0.0909,-0.3057,0.0067,0.0035,0.0880,0.3443,0.0572,0.0238,0.8362
0:20:42,20600,-0.0796,-0.2762,0.0483,0.0027,0.1857,0.2700,0.0512,0.1740,0.5577
0:20:46,20700,-0.0696,-0.2962,0.0016,0.0040,0.0022,0.3133,0.0519,0.0252,0.4488
0:20:51,20800,-0.1517,-0.1874,0.0514,0.0021,0.0141,0.2202,0.0501,0.4909,0.0949
0:20:56,20900,-0.1209,-0.2494,0.0095,0.0079,0.0040,0.2060,0.0459,0.0331,0.0477
0:21:00,21000,-0.2861,-0.1558,0.0014,0.0081,0.0099,0.1629,0.0576,0.0137,0.5327
0:21:17,21100,-0.1346,-0.2457,0.0721,0.0034,0.0030,0.2508,0.0566,0.0027,0.0239
0:21:21,21200,-0.1125,-0.2290,0.0331,0.0043,0.0031,0.1998,0.0468,0.0690,0.2688
0:21:26,21300,-0.1517,-0.1878,0.0063,0.0034,0.0140,0.1892,0.0495,0.0032,0.0983
0:21:30,21400,-0.1591,-0.2849,0.0455,0.0043,0.0079,0.3269,0.0601,0.0377,0.4885
0:21:35,21500,-0.1275,-0.2675,0.0019,0.0092,0.0380,0.2855,0.0533,0.0027,0.2982
0:21:40,21600,-0.1530,-0.2106,0.0036,0.0024,0.0014,0.1934,0.0521,0.2014,0.1835
0:21:44,21700,-0.1828,-0.1477,0.0106,0.0077,0.0371,0.1438,0.0457,0.3310,0.2931
0:21:49,21800,-0.0761,-0.2011,0.0051,0.0017,0.0036,0.2030,0.0461,0.0055,0.0723
0:21:54,21900,-0.2089,-0.1621,0.0135,0.0053,0.0224,0.1953,0.0478,0.0248,0.7953
0:21:58,22000,-0.2372,-0.2069,0.0004,0.0042,0.0059,0.2756,0.0590,0.0168,0.1024
0:22:15,22100,-0.1065,-0.2202,0.0058,0.0035,0.0128,0.1913,0.0496,0.0455,0.1874
0:22:20,22200,-0.1710,-0.2719,0.0056,0.0054,0.0037,0.2860,0.0545,0.0045,0.1478
0:22:24,22300,-0.2053,-0.0691,0.0245,0.0058,0.1711,0.0813,0.0475,0.1193,0.5832
0:22:29,22400,-0.1109,-0.3117,0.0031,0.0033,0.0050,0.2894,0.0494,0.0348,0.0598
0:22:34,22500,-0.1013,-0.2033,0.1635,0.0042,0.0247,0.1747,0.0493,0.5373,0.7245
0:22:38,22600,-0.1561,-0.1494,0.0023,0.0029,0.0075,0.1594,0.0478,0.0237,0.0219
0:22:43,22700,-0.2251,-0.2007,0.0020,0.0043,0.0448,0.1973,0.0528,0.0233,0.2352
0:22:47,22800,-0.2204,-0.2288,0.0007,0.0036,0.0024,0.1995,0.0553,0.0052,0.0747
0:22:52,22900,-0.0640,-0.2204,0.0523,0.0062,0.0103,0.2086,0.0448,0.0123,0.0665
0:22:57,23000,-0.1576,-0.2297,0.0063,0.0029,0.0039,0.2060,0.0543,0.0012,0.0974
0:23:13,23100,-0.1402,-0.1820,0.0011,0.0050,0.0066,0.1838,0.0481,0.0205,0.2475
0:23:18,23200,-0.1018,-0.2038,0.0060,0.0026,0.0085,0.2397,0.0488,0.2607,0.0055
0:23:22,23300,-0.1905,-0.0765,0.0009,0.0098,0.0034,0.0834,0.0502,0.0568,0.2841
0:23:27,23400,-0.1366,-0.2089,0.2230,0.0028,0.0282,0.2305,0.0507,0.0236,0.3093
0:23:32,23500,-0.2122,-0.2622,0.0035,0.0067,0.0421,0.2123,0.0603,0.1222,0.2087
0:23:37,23600,-0.1894,-0.2359,0.0006,0.0069,0.0217,0.2480,0.0506,0.0141,0.1356
0:23:41,23700,-0.0889,-0.3116,0.0032,0.0066,0.0044,0.2829,0.0527,0.0031,0.0701
0:23:46,23800,-0.2050,-0.2107,0.0060,0.0043,0.0015,0.1988,0.0539,0.0584,0.0101
0:23:51,23900,-0.0053,-0.2382,0.0320,0.0015,0.0197,0.2652,0.0450,0.0374,0.6130
0:23:55,24000,-0.0439,-0.2410,0.0354,0.0028,0.0195,0.2514,0.0450,0.0781,0.3557
0:24:12,24100,-0.0944,-0.2758,0.0021,0.0018,0.0080,0.2589,0.0469,0.2197,0.1463
