Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
1:33:58,68300,-0.3230,-0.2479,0.0796,0.0014,2.8233,0.2711,0.0503,0.1699,2.7859,0.0375
1:34:02,68400,-0.2022,-0.2093,0.1388,0.0043,2.7348,0.1847,0.0513,0.0750,2.7338,0.0381
1:34:07,68500,-0.2922,-0.1339,0.0536,0.0018,2.8339,0.2097,0.0605,0.1041,2.8607,0.0451
1:34:12,68600,-0.9626,0.1869,0.0786,0.0073,2.7438,-0.1553,0.0551,0.0107,2.8603,0.0420
1:34:16,68700,-0.3840,-0.3042,0.2279,0.0057,2.8508,0.3428,0.0582,0.0243,2.9166,0.0466
1:34:20,68800,-0.4139,-0.0763,0.0785,0.0053,2.7211,0.0997,0.0576,0.0106,2.7381,0.0418
1:34:25,68900,-0.8285,-0.1784,0.0708,0.0097,2.7511,0.1325,0.0581,0.2721,2.6801,0.0544
1:34:29,69000,-1.0586,0.1331,0.2012,0.0065,2.6370,-0.0267,0.0699,0.0678,2.6217,0.0565
1:34:55,69100,0.0240,-0.4691,0.0892,0.0050,2.9277,0.4242,0.0632,0.0474,2.8456,0.0417
1:34:59,69200,-0.5729,-0.0179,0.0446,0.0102,2.7006,0.0217,0.0546,0.0387,2.7087,0.0414
1:35:04,69300,-0.8937,0.0482,0.0068,0.0035,2.8978,0.0143,0.0611,0.0274,2.9300,0.0483
1:35:09,69400,-0.1835,-0.2373,0.1397,0.0138,2.7814,0.2926,0.0390,0.1438,2.7569,0.0341
1:35:14,69500,-0.3315,-0.0675,0.1644,0.0076,2.8107,0.0545,0.0461,0.0414,2.7892,0.0351
1:35:18,69600,-0.6276,-0.0934,0.0065,0.0094,2.7577,0.1182,0.0695,0.4674,2.6910,0.0505
1:35:23,69700,-0.7407,0.0061,0.1835,0.0034,2.7722,-0.0322,0.0627,0.1595,2.7688,0.0542
